artist_name,language,spotify_error,lastfm_error
Taylor Swift,ENG,,No existe ../../data/input/allowed_tags. Crea el archivo con los tags permitidos.
Sabrina Carpenter,ENG,,No existe ../../data/input/allowed_tags. Crea el archivo con los tags permitidos.
Halsey,ENG,,No existe ../../data/input/allowed_tags. Crea el archivo con los tags permitidos.
Ariana Grande,ENG,,No existe ../../data/input/allowed_tags. Crea el archivo con los tags permitidos.
Tate McRae,ENG,,No existe ../../data/input/allowed_tags. Crea el archivo con los tags permitidos.
Rosalia,ESP,,No existe ../../data/input/allowed_tags. Crea el archivo con los tags permitidos.
Bad Bunny,ESP,,No existe ../../data/input/allowed_tags. Crea el archivo con los tags permitidos.
Quevedo,ESP,,No existe ../../data/input/allowed_tags. Crea el archivo con los tags permitidos.
Selena Gomez,ENG,,No existe ../../data/input/allowed_tags. Crea el archivo con los tags permitidos.
Britney Spears,ENG,,No existe ../../data/input/allowed_tags. Crea el archivo con los tags permitidos.
Christina Aguilera,ENG,,No existe ../../data/input/allowed_tags. Crea el archivo con los tags permitidos.
Aitana,ESP,,No existe ../../data/input/allowed_tags. Crea el archivo con los tags permitidos.
Lola Indigo,ESP,,No existe ../../data/input/allowed_tags. Crea el archivo con los tags permitidos.
Michael Jackson,ENG,,No existe ../../data/input/allowed_tags. Crea el archivo con los tags permitidos.
Prince,ENG,,No existe ../../data/input/allowed_tags. Crea el archivo con los tags permitidos.
George Michael,ENG,,No existe ../../data/input/allowed_tags. Crea el archivo con los tags permitidos.
Cher,ENG,,No existe ../../data/input/allowed_tags. Crea el archivo con los tags permitidos.
Lady Gaga,ENG,,No existe ../../data/input/allowed_tags. Crea el archivo con los tags permitidos.
Shakira,ESP,,No existe ../../data/input/allowed_tags. Crea el archivo con los tags permitidos.
JLo,ENG,,No existe ../../data/input/allowed_tags. Crea el archivo con los tags permitidos.
Pitbull,ENG,,No existe ../../data/input/allowed_tags. Crea el archivo con los tags permitidos.
Dua Lipa,ENG,,No existe ../../data/input/allowed_tags. Crea el archivo con los tags permitidos.
Olivia Rodrigo,ENG,,No existe ../../data/input/allowed_tags. Crea el archivo con los tags permitidos.
